ÚSEK,CESTA,OKRES,T,O,M,S
90721,59,Ružomberok,2265,8697,52,11014
90739,59,Dolný Kubín,1945,5836,26,7807
90740,59,Dolný Kubín,2166,8961,79,11206
90744,59,Dolný Kubín,2256,9730,64,12050
90750,59,Dolný Kubín,3140,10273,78,13491
90756,59,Dolný Kubín,2739,8935,92,11766
90760,59,Dolný Kubín,230,1051,15,1296
90770,59,Tvrdošín,1988,5523,48,7559
90780,59,Tvrdošín,2157,7789,60,10006
90781,59,Tvrdošín,2559,9618,73,12250
90782,59,Tvrdošín,2607,14289,54,16950
90783,59,Tvrdošín,2596,10497,32,13125
90790,59,Tvrdošín,954,6058,42,7054
90791,59,Tvrdošín,985,6248,25,7258
90792,59,Tvrdošín,473,4943,25,5441
90800,59,Tvrdošín,1335,3044,21,4400
95980,59,Tvrdošín,225,957,5,1187
95990,59,Dolný Kubín,1215,5382,36,6633
90091,60,Žilina,5171,34475,127,39773
90092,60,Žilina,3766,23975,125,27866
90093,60,Žilina,3383,28518,100,32001
90094,60,Žilina,3746,31511,89,35346
90102,60,Žilina,8170,19073,139,27382
90103,60,Žilina,6404,24486,130,31020
90301,60,Žilina,6427,34772,294,41493
90069,61,Bytča,568,3269,46,3883
90070,61,Bytča,1126,5953,55,7134
90080,61,Žilina,1267,5819,37,7123
90087,61,Žilina,1131,5226,60,6417
90090,61,Žilina,1171,6860,64,8095
90095,61,Žilina,6131,22260,104,28495
90097,61,Žilina,1067,5147,42,6256
91360,64,Žilina,2705,12999,68,15772
91362,64,Žilina,2481,15537,82,18100
91370,64,Žilina,1763,9410,47,11220
91380,64,Žilina,1436,9127,61,10624
91381,64,Žilina,1384,8282,87,9753
91387,64,Žilina,1316,6858,53,8227
91390,64,Žilina,808,3924,53,4785
91391,64,Žilina,1123,5886,116,7125
91392,64,Žilina,1031,5765,53,6849
91400,64,Žilina,607,2525,115,3247
91418,64,Žilina,530,2069,66,2665
91361,64B,Žilina,3331,17063,75,20469
96170,64B,Žilina,610,3459,23,4092
91250,65,Martin,4420,18661,145,23226
91251,65,Martin,1703,20488,65,22256
91252,65,Martin,1989,13532,102,15623
91253_01,65,Martin,765,8945,40,9750
91253_02,65,Martin,768,9743,41,10552
91254,65,Martin,1490,9672,63,11225
91260,65,Martin,3825,15243,124,19192
91270,65,Martin,2916,8372,50,11338
91280,65,Martin,2573,7039,29,9641
91287,65,Turčianske Teplice,2654,6196,37,8887
91290,65,Turčianske Teplice,2953,8602,72,11627
91296,65,Turčianske Teplice,2718,7966,58,10742
91300,65,Turčianske Teplice,2557,5552,47,8156
91310,65,Turčianske Teplice,1709,3456,28,5193
91320,65,Turčianske Teplice,1914,3211,39,5164
91255,65D,Martin,4105,16915,111,21131
91230,70,Dolný Kubín,2162,6980,55,9197
91231,70,Dolný Kubín,2672,11848,51,14571
91232,70,Dolný Kubín,2546,17631,58,20235
91240,70,Dolný Kubín,1440,4750,44,6234
91039,72,Liptovský Mikuláš,714,4706,60,5480
91040,72,Liptovský Mikuláš,698,4780,57,5535
91050,72,Liptovský Mikuláš,1032,5023,45,6100
91190,78,Námestovo,1756,9912,49,11717
92480,78,Dolný Kubín,1137,4110,46,5293
92490,78,Námestovo,1104,4870,34,6008
92500,78,Námestovo,1415,6551,46,8012
92890,78,Námestovo,1486,10436,22,11944
92891,78,Námestovo,1898,10646,23,12567
92892,78,Námestovo,2100,13967,67,16134
92896,78,Námestovo,1296,6359,42,7697
92897,78,Námestovo,860,6737,28,7625
92899,78,Námestovo,814,6941,26,7781
92180,484,Čadca,305,2184,11,2500
92181,484,Čadca,401,4175,32,4608
92189,484,Čadca,131,1398,34,1563
91100,487,Čadca,309,2132,38,2479
91101,487,Čadca,515,4501,16,5032
91102,487,Čadca,951,6175,36,7162
91103,487,Čadca,588,4502,38,5128
91106,487,Čadca,815,6260,41,7116
91107,487,Čadca,288,1846,30,2164
91109,487,Čadca,114,1055,39,1208
91110,487,Čadca,1372,11412,64,12848
91117,487,Čadca,1027,8028,68,9123
91121,487,Čadca,1311,14860,75,16246
91122,487,Čadca,1425,14196,29,15650
92241,507,Bytča,2155,7526,40,9721
92242,507,Bytča,891,5689,35,6615
92248,507,Bytča,709,4773,19,5501
92250,507,Bytča,655,5048,55,5758
92251,507,Bytča,818,7026,71,7915
92260,507,Bytča,507,4134,38,4679
92270,507,Žilina,560,5515,35,6110
92280,507,Žilina,876,6713,54,7643
92281,507,Žilina,1305,9436,91,10832
92409,517,Žilina,427,2111,25,2563
91489,519,Turčianske Teplice,677,2956,67,3700
92410,519,Turčianske Teplice,637,2491,28,3156
92420,519,Turčianske Teplice,595,2249,38,2882
92430,519,Turčianske Teplice,646,2920,42,3608
92440,519,Martin,752,3115,18,3885
92450,519,Martin,831,4611,47,5489
91130,520,Čadca,791,4228,55,5074
91136,520,Čadca,920,5087,59,6066
91140,520,Čadca,637,3758,67,4462
91150,520,Čadca,364,2321,62,2747
91160,520,Námestovo,529,4462,34,5025
91170,520,Námestovo,879,6521,46,7446
91180,520,Námestovo,885,6434,31,7350
91200,520,Námestovo,891,4892,54,5837
91210,520,Námestovo,993,6753,63,7809
91220,520,Tvrdošín,724,3737,40,4501
91221,520,Tvrdošín,784,5995,49,6828
92460,520,Tvrdošín,584,5796,55,6435
92461,520,Tvrdošín,974,6029,47,7050
92470,520,Tvrdošín,274,1966,21,2261
95790,520,Čadca,478,2431,16,2925
91670,537,Liptovský Mikuláš,234,2876,98,3208
91671,537,Liptovský Mikuláš,836,6710,39,7585
91672,537,Liptovský Mikuláš,692,5616,58,6366
91678,537,Liptovský Mikuláš,73,917,43,1033
93470,541,Bytča,674,4175,57,4906
93478,541,Bytča,493,2107,22,2622
93479,541,Čadca,350,1758,10,2118
92920,583,Dolný Kubín,567,3601,26,4194
92928,583,Dolný Kubín,400,3309,45,3754
93500,583,Žilina,333,1785,24,2142
93501,583,Žilina,247,2071,19,2337
93506,583,Žilina,282,1516,24,1822
93510,583,Žilina,1114,9252,79,10445
93516,583,Žilina,847,7112,46,8005
93517,583,Žilina,621,5341,81,6043
93518,583,Žilina,333,3239,49,3621
95890,583,Žilina,534,4755,31,5320
95750,583A,Žilina,3180,16400,131,19711
92960,584,Liptovský Mikuláš,303,4139,59,4501
92970,584,Liptovský Mikuláš,416,6130,51,6597
92971,584,Liptovský Mikuláš,768,10556,97,11421
92972,584,Liptovský Mikuláš,1969,19045,69,21083
92990,584,Liptovský Mikuláš,250,2257,67,2574
92999,584,Liptovský Mikuláš,206,1994,113,2313
93000,584,Liptovský Mikuláš,693,8291,59,9043
93006,584,Liptovský Mikuláš,199,2220,11,2430
93910,584,Tvrdošín,400,2721,17,3138
93917,584,Tvrdošín,431,3311,44,3786
93919,584,Tvrdošín,250,1557,44,1851
95810,584A,Tvrdošín,420,2820,67,3307
93190,1796,Martin,132,1351,16,1499
93219,1796,Martin,80,775,24,879
94610,2005,Bytča,391,3084,25,3500
93531,2013,Čadca,514,5068,36,5618
95930,2016,Čadca,44,326,29,399
90281,2017,Čadca,549,3931,22,4502
90282,2017,Čadca,264,2085,23,2372
95670,2017,Čadca,82,592,14,688
95480,2026,Čadca,324,2138,8,2470
95490,2026,Čadca,156,1248,4,1408
95420,2035,Žilina,311,2311,21,2643
95428,2035,Čadca,332,2085,24,2441
92860,2051,Kysucké Nové Mesto,273,1748,28,2049
93520,2052,Kysucké Nové Mesto,262,3036,19,3317
93521,2052,Kysucké Nové Mesto,1151,10125,44,11320
93522,2052,Kysucké Nové Mesto,701,7092,42,7835
92870,2054,Kysucké Nové Mesto,190,1366,12,1568
92871,2054,Kysucké Nové Mesto,300,2738,17,3055
95430,2070,Žilina,172,882,13,1067
95431,2070,Žilina,423,4046,31,4500
94600,2076,Žilina,146,1835,16,1997
94608,2076,Žilina,47,610,7,664
93490,2084,Žilina,343,3524,21,3888
93491,2084,Žilina,921,6037,66,7024
93497,2084,Žilina,610,5125,21,5756
92880,2095,Kysucké Nové Mesto,545,5699,44,6288
92881,2095,Kysucké Nové Mesto,1066,6898,65,8029
92888,2095,Žilina,44,346,17,407
93480,2099,Žilina,384,4559,14,4957
93481,2099,Žilina,1015,8507,70,9592
93487,2099,Žilina,309,2258,36,2603
95551,2100,Žilina,405,2770,29,3204
94830,2112,Žilina,129,618,24,771
94180,2131,Martin,68,346,9,423
95230,2132,Martin,37,557,22,616
95260,2132,Martin,94,619,23,736
95270,2132,Turčianske Teplice,191,1045,139,1375
95281,2136,Martin,626,5187,29,5842
95001,2137,Martin,900,11337,63,12300
95290,2141,Martin,378,2541,17,2936
95300,2142,Martin,99,899,8,1006
93770,2144,Martin,230,2119,14,2363
93771,2144,Martin,413,4261,20,4694
93160,2145,Martin,384,4747,43,5174
93161,2145,Martin,477,5990,31,6498
95561,2150,Martin,654,9763,53,10470
93200,2157,Martin,183,766,7,956
93621,2174,Turčianske Teplice,425,4917,32,5374
91291,2175,Turčianske Teplice,348,3182,30,3560
93180,2176,Turčianske Teplice,319,1745,31,2095
93186,2176,Turčianske Teplice,182,1045,9,1236
91490,2183,Turčianske Teplice,293,1528,29,1850
92940,2213,Ružomberok,476,3895,50,4421
92946,2213,Ružomberok,508,3489,38,4035
92950,2213,Ružomberok,322,2959,46,3327
92956,2213,Liptovský Mikuláš,208,2322,58,2588
92980,2216,Ružomberok,343,3028,45,3416
92988,2216,Ružomberok,110,1127,32,1269
94746,2221,Ružomberok,631,4693,61,5385
95650,2223,Ružomberok,100,893,4,997
92930,2224,Ružomberok,134,1493,13,1640
92937,2224,Liptovský Mikuláš,129,364,11,504
95680,2227,Ružomberok,205,1335,7,1547
94840,2240,Dolný Kubín,57,449,4,510
90742,2246,Dolný Kubín,1215,6714,58,7987
90746,2246,Dolný Kubín,587,2719,22,3328
92910,2247,Dolný Kubín,164,1732,26,1922
92900,2250,Dolný Kubín,311,1880,26,2217
95660,2263,Dolný Kubín,151,843,11,1005
94890,2270,Námestovo,403,2905,26,3334
95500,2273,Námestovo,941,9386,59,10386
93950,2274,Námestovo,232,2780,21,3033
93960,2274,Námestovo,253,1258,13,1524
93970,2274,Námestovo,160,949,4,1113
94760,2276,Námestovo,369,3905,47,4321
93920,2301,Tvrdošín,44,696,8,748
95470,2306,Tvrdošín,190,1227,7,1424
95471,2306,Tvrdošín,318,2638,6,2962
93930,2308,Tvrdošín,37,242,2,281
95510,2311,Tvrdošín,33,293,1,327
95517,2311,Tvrdošín,250,1835,31,2116
95820,2312,Tvrdošín,123,788,30,941
95440,2321,Liptovský Mikuláš,139,1769,24,1932
95441,2321,Liptovský Mikuláš,353,4312,28,4693
95640,2322,Liptovský Mikuláš,56,555,17,628
93690,2332,Liptovský Mikuláš,115,1215,6,1336
93691,2332,Liptovský Mikuláš,99,1314,5,1418
93701,2333,Liptovský Mikuláš,280,3341,31,3652
94901,2335,Liptovský Mikuláš,463,4892,26,5381
94910,2337,Liptovský Mikuláš,149,1160,8,1317
94911,2337,Liptovský Mikuláš,459,2798,29,3286
94920,2338,Liptovský Mikuláš,172,2380,23,2575
95211,2341,Liptovský Mikuláš,381,1835,11,2227
94040,2358,Liptovský Mikuláš,85,529,10,624
94041,2358,Liptovský Mikuláš,123,842,6,971
