ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates,car_route_distance,car_route_time,car_route_coordinates,car_alt_route_distance,car_alt_route_time,car_alt_route_coordinates,truck_route_distance,truck_route_time,truck_route_coordinates,truck_alt_route_distance,truck_alt_route_time,truck_alt_route_coordinates
M32,18.194797763,48.552426225,3541A55301,3541A46100,940149,48.5534947,18.1920832,48.54170088,18.20606427,"[(48.552426225, 18.19506918421358), (48.552581817771326, 18.194933473606792), (48.552581817771326, 18.19466205239321), (48.552426225, 18.19452634178642), (48.55227063222867, 18.19466205239321), (48.55227063222867, 18.194933473606792), (48.552426225, 18.19506918421358)]",,,,,,,,,,,,
M5588,18.265401547,48.568007635,3541A04003,3541A18900,7496,48.56837013,18.26548134,48.55909548,18.26307222,"[(48.568007635, 18.26567305183282), (48.56816322777133, 18.265537299416412), (48.56816322777133, 18.265265794583588), (48.568007635, 18.26513004216718), (48.56785204222867, 18.265265794583588), (48.56785204222867, 18.265537299416412), (48.568007635, 18.26567305183282)]",,,,,,,,,,,,
M6058,18.069866875,47.853363809,4541A03100,4541A61400,1711,47.83692907,18.09648275,47.85349444,18.06975559,"[(47.853363809, 18.07013461708006), (47.85351940177133, 18.07000074604003), (47.85351940177133, 18.069733003959968), (47.853363809, 18.069599132919937), (47.85320821622867, 18.069733003959968), (47.85320821622867, 18.07000074604003), (47.853363809, 18.07013461708006)]",,,,,,,,,,,,
M5823,18.066390867,47.857391427,4541A61500,4541A15201,1332339,47.85689859,18.06624235,47.86753733,18.05806632,"[(47.857391427, 18.066658629877878), (47.85754701977133, 18.066524748438937), (47.85754701977133, 18.06625698556106), (47.857391427, 18.06612310412212), (47.857235834228675, 18.06625698556106), (47.857235834228675, 18.066524748438937), (47.857391427, 18.066658629877878)]",,,,,,,,,,,,
M7596,18.062594971,47.864903724,4541A61500,4541A15201,1332339,47.85689859,18.06624235,47.86753733,18.05806632,"[(47.864903724, 18.062862772682056), (47.86505931677133, 18.062728871841028), (47.86505931677133, 18.06246107015897), (47.864903724, 18.062327169317943), (47.86474813122867, 18.06246107015897), (47.86474813122867, 18.062728871841028), (47.864903724, 18.062862772682056)]",,,,,,,,,,,,
M5597,18.055863264,47.865107409,4541A15202,4541A15300,1332340,47.86756573,18.05765102,47.86506874,18.05584023,"[(47.865107409, 18.056131066734395), (47.865263001771325, 18.0559971653672), (47.865263001771325, 18.0557293626328), (47.865107409, 18.055595461265604), (47.86495181622867, 18.0557293626328), (47.86495181622867, 18.0559971653672), (47.865107409, 18.056131066734395)]",,,,,,,,,,,,
M145,18.050430708,47.848226196,4541A61600,4541A15600,1332341,47.85778917,18.05268687,47.84829291,18.05045895,"[(47.848226196, 18.05069842355706), (47.84838178877133, 18.05056456577853), (47.84838178877133, 18.05029685022147), (47.848226196, 18.050162992442942), (47.84807060322867, 18.05029685022147), (47.84807060322867, 18.05056456577853), (47.848226196, 18.05069842355706)]",,,,,,,,,,,,
M1263,18.157813162,48.324635051,4521A33200,4521A33300,509794,48.32330938,18.14642804,48.32446659,18.16468375,"[(48.324635051, 18.158083368877627), (48.32479064377133, 18.15794826543881), (48.32479064377133, 18.15767805856119), (48.324635051, 18.157542955122373), (48.32447945822867, 18.15767805856119), (48.32447945822867, 18.15794826543881), (48.324635051, 18.158083368877627)]",,,,,,,,,,,,
M1022,18.178540139,48.33130858,4521A18300,4521G50600,509120,48.33102365,18.17815956,48.33152011,18.1789998,"[(48.33130858, 18.17881038123848), (48.33146417277133, 18.178675260119242), (48.33146417277133, 18.178405017880756), (48.33130858, 18.178269896761517), (48.33115298722867, 18.178405017880756), (48.33115298722867, 18.178675260119242), (48.33130858, 18.17881038123848)]",,,,,,,,,,,,
M2449,18.203954167,48.33732758,4521G51100,4521A34600,1323268,48.33734178,18.20388378,48.3390455,18.20735368,"[(48.33732758, 18.204224441142287), (48.33748317277133, 18.204089304071143), (48.33748317277133, 18.203819029928855), (48.33732758, 18.20368389285771), (48.33717198722867, 18.203819029928855), (48.33717198722867, 18.204089304071143), (48.33732758, 18.204224441142287)]",,,,,,,,,,,,
M3676,18.288618577,48.341831403,3543A66500,3543A11200,1365096,48.34093786,18.28523107,48.34290417,18.29127988,"[(48.341831403, 18.28888887502175), (48.34198699577133, 18.288753726010878), (48.34198699577133, 18.288483427989124), (48.341831403, 18.28834827897825), (48.34167581022867, 18.288483427989124), (48.34167581022867, 18.288753726010878), (48.341831403, 18.28888887502175)]",,,,,,,,,,,,
