ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M626,cesta I. triedy,2,"Most nad Chorvátskym ramenom, Dolnozemská ul., Petržalka BA",2-052,48.100213801,17.121223223,181.89625,trámová,prefabrikovaný predpätý betón,36.0,167.0,272.0,statický výpočet,Kanál,1983,Nezistený,1,38,40.8,21.5,20.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A17802,4424A02201,805774,Bratislava,4,4,4,4,4,4,4,4,4,4,5,5,5
M4655,cesta I. triedy,2,"Most na Dolnozemskej ceste nad Betliarskou ulicou, Petržalka, BA",2-053,48.099330476,17.121154224,183.316,dosková,prefabrikovaný predpätý betón,20.0,43.0,104.0,statický výpočet,Miestna komunikácia,1984,Nezistený,3,39.8,Nezistený,22.5,22.5,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A17802,4424A02201,805774,Bratislava,3,3,3,3,3,3,3,3,3,3,4,4,4
M7468,cesta I. triedy,2,Nezistený,54,48.096426792,17.120931869,179.405499,trámová,prefabrikovaný železobetón,29.0,60.0,0.0,podľa tabuliek,Miestna komunikácia,1986,Nezistený,1,5.61,Nezistený,23.9,10.4,Nezistený,Nezistený,BA,MAG-BA,Bratislava V,4424A02202,4424A18800,7616,Bratislava,6,6,6,6,6,6,6,6,6,6,6,6,6
M6499,cesta I. triedy,11,Most cez bezmenný potok vo Svrčinovci,200,49.491615851,18.781324783,451.880999,dosková,monolitický železobetón,12.0,29.0,187.0,podľa tabuliek,Vodný tok,1953,Nezistený,1,5,Nezistený,12,12,Nezistený,Nezistený,NDS,NDS - SSUR CA,Čadca,2613A42900,2613A43000,1377711,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4
M2061,cesta I. triedy,11,11_202 Most cez rieku Čerňanka v k.ú. obce Svrčinovec,202,49.479899075,18.794048493,430.79575,oblúková,monolitický železobetón,14.0,49.0,100.0,statický výpočet podľa TP 02/2016,Vodný tok,1931,Nezistený,1,32,Nezistený,6.5,6.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A37600,2613A37900,194666,Žilina,2,2,2,2,2,4,4,4,6,6,6,6,6
M3917,cesta I. triedy,11,"11_203 Most cez potok Čadečka, Čadca, osada Podzávod",203,49.455058609,18.783305904,428.566999,trámová,monolitický železobetón,37.0,58.0,134.0,podľa tabuliek,Vodný tok,1951,Nezistený,1,13.4,Nezistený,11,9,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A16300,2613A16400,194286,Žilina,4,4,4,4,4,4,4,4,4,5,5,5,6
M331,cesta I. triedy,11b,11-206 Most cez rieku Kysuca v meste Čadca,206,49.440266018,18.789767168,415.303249,dosková,monolitický železobetón,11.0,19.0,90.0,statický výpočet podľa TP 02/2016,Vodný tok,1969,Nezistený,3,52.4,Nezistený,14.5,10.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A03900,2613A34600,8694,Žilina,5,5,5,5,6,6,6,6,6,6,6,6,6
M2532,cesta I. triedy,11,11_209 Most nad MK v meste Čadca,209,49.428672502,18.799520991,412.9725,dosková,prefabrikovaný železobetón,30.0,76.0,239.0,projektovaná,Miestna komunikácia,1970,Nezistený,1,6,Nezistený,12.71,10.5,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A04002,2613A35601,992026,Žilina,2,2,2,2,2,2,2,2,2,2,2,2,2
M3828,cesta I. triedy,11,11_210 Most cez bezmenný potok v obci Horelica,210,49.429605785,18.809551024,407.543999,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,Vodný tok,1934,Nezistený,1,3,Nezistený,7.6,6.6,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A36100,2613A36200,194641,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,6
M6402,cesta I. triedy,11,11_211 Most cez bezmenný potok v obci Horelica,211,49.42454179,18.830074867,401.4655,klenbová,kameň,8.0,32.0,168.0,podľa tabuliek,Vodný tok,1934,Nezistený,1,2.6,Nezistený,8,8,Nezistený,Nezistený,STAT,SSC - IVSC ZA,Čadca,2613A37000,2613A04101,194650,Žilina,4,4,4,4,4,4,4,4,4,4,4,4,4
