ID_mosta	Zemepisná_dĺžka	Zemepisná_šírka	úsek_ID	ID_úseku	Start	End	Okres	StartNode_Latitude	StartNode_Longitude	EndNode_Latitude	EndNode_Longitude	Car_route	Car_alt
M3109	21.65159	49.10899	151088	1159	2834B00400	2834B00400	Stropkov	49.07096	21.68479	49.07096	21.68479		
M6035	18.74376	49.21391	8554	90094	2631A00222	2631A01601	Žilina	49.21497	18.73323	49.21401	18.74437		
M3082	19.06034	49.12842	197653	90149	2634B00200	2634A00500	Martin	49.15089	19.09634	49.11377	19.02272		
M1444	19.13938	49.15202	1813	90158	2634B00300	2634B00200	Dolný Kubín	49.15092	19.14712	49.15089	19.09634		
M4815	20.30855	49.04969	440381	47	2734A01600	2733A12200	Poprad	49.03259	20.34272	49.05	20.30557		
M3276	20.68281	49.00371	405302	80	3721A00100	3721A00400	Levoča	49.00705	20.76675				
M618	18.15653	48.79163	382704	80640	3523A00500	3523A00400	Trenčín	48.79137	18.16124				
M1481	18.25025	48.72424	8993	80661	3523A01201	3523A01100	Bánovce nad Bebravou	48.71222	18.25553	48.72455	18.25014		
M3959	18.3838	48.69506	398912	83668	3524B00200	3523A01300	Partizánske	48.69505	18.38378	48.6981	18.28568		
M562	18.86787	48.581	386110	92151	3631A00102	3631A00803	Žiar nad Hronom	48.57936	18.87294	48.58672	18.86062		
M5723	19.3349	48.54585	665921	90490	3641A03000	3632A01802	Detva	48.54349	19.39256	48.54931	19.30403		
M801	19.64247	48.37521	3766	90536	3643A01201	3643A01100	Lučenec	48.36739	19.64915	48.37884	19.63714		
M2191	19.99528	48.39102	4293	90590	3733A00603	3644A00302	Rimavská Sobota	48.39194	20.02017	48.39035	19.99302		
M4121	20.31643	48.42377	4255	90641	3733A00100	3733A01600	Revúca	48.42312	20.3224	48.42467	20.31163		
M5754	22.21131	48.73092	2370	360	3823A01100	3823A00103	Sobrance	48.68676	22.24056	48.73826	22.20865		
M6188	18.65961	48.23597	8067	81750	4611A00300	4522A00609	Levice	48.26352	18.70933	48.22427	18.61879		
M5574	18.92924	48.26868	2330	91620	4611A00101	4611B00100	Krupina	48.28404	18.98709	48.26531	18.82616		
M3843	18.92656	48.35458	234173	92538	3633A01200	4611B00500	Banská Štiavnica	48.36274	18.92308	48.33627	18.95307		
M3516	18.97766	48.50942	1372789	91650	3632B00700	3633A01700	Banská Štiavnica	48.5416	19.00408	48.47515	18.91156		
M3265	19.12492	48.77881	744980	90660	3614A00101	3614A06005	Banská Bystrica	48.78988	19.1038	48.7519	19.13884		
M5373	19.28857	48.99947	1004712	90700	3612A03900	3612A00400	Ružomberok	49.02339	19.29267	48.95286	19.26111		
M2489	19.30319	49.0855	1004750	90721	2634A29100	2634A00305	Ružomberok	49.10233	19.30454	49.08503	19.30267		
M6759	17.14532	48.1562	7397	84161	4424A02003	4424A01202	Bratislava II	48.16134	17.14095	48.15108	17.14847		
M1693	17.41844	48.2618	372153	80150	4511A01601	4511A00201	Senec	48.26353	17.42285	48.24305	17.35826		
M5221	17.56847	48.34769	6626	80190	3533A28900	4511A02102	Trnava			48.31502	17.50559		
M5492	17.64997	48.40718	436990	80200	3534A00101	3533A02202	Trnava	48.43734	17.70139	48.38958	17.61224		
M6211	18.03446	48.89494	389074	80032	3521A00401	3521A00304	Trenčín	48.89375	18.03649	48.8996	18.02927		
M1885	18.47058	49.1567	945273	90059	2544B00600	2544A00800	Považská Bystrica	49.17554	18.50673	49.14079	18.46989		
M3054	18.54033	49.19697	1763	90069	2542A01001	2544B00600	Bytča	49.20027	18.5454	49.17554	18.50673		
M2437	17.72837	48.28267	507743	80811	4512A00200	4512A00102	Galanta	48.28498	17.73381	48.28219	17.72719		
M1514	18.14321	47.76216	369248	80412	4543A00600	4543A00106	Komárno	47.76722	18.15334	47.76275	18.13124		
M4653	18.58474	47.78495	418392	83138	4544A00900	4544B00100	Nové Zámky	47.79013	18.60219	47.76184	18.51143		
M3882	18.18384	48.55461	427991	80564	3541A08801	3541A01800	Topoľčany	48.53942	18.14961				
M4962	18.21942	48.60137	427119	80570	3541A00700	3541A00602	Topoľčany	48.60212	18.2204	48.57425	18.18941		
M6016	18.62499	48.76657	954229	91443	3524A50100	3524A00202	Prievidza	48.76899	18.62533	48.7628	18.62434		
M121	18.72719	49.17838	402155	91360	2633A42600	2633A01600	Žilina	49.1887	18.73374	49.16893	18.72094		
M5828	18.14784	48.33009	509754	80350	4521A02400	4521A00204	Nitra	48.33972	18.16704	48.31706	18.11059		
M7339	18.37968	48.35495	93380	80380	3544A00201	3544A00301	Zlaté Moravce	48.36022	18.3837	48.34995	18.36641		
M2721	18.61931	48.40124	423675	90810	3544A31000	3544A02706	Žarnovica	48.40924	18.63287	48.36289	18.57813		
M5155	18.89182	48.60543	386204	91350	3631A01900	3631A00206	Žiar nad Hronom	48.65387	18.91039	48.59012	18.89543		
M6288	18.90536	48.76547	2421	91320	3613A01200	3613B00200	Turčianske Teplice	48.77789	18.88084	48.75081	18.90137		
M1973	18.96549	48.24577	2397	91600	4611A01400	4611A01300	Krupina	48.26406	18.99078	48.21293	18.92844		
M2889	19.11741	48.53372	474204	91530	3632A32900	3632A02000	Zvolen	48.56499	19.13386	48.5182	19.09882		
