Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Usek,Poc. Uzol,Konc. Uzol,Usekove stanicenie zac. objektu,Kumul. stanicenie zaciatku objektu,LongitudeE,LatitudeN,VyskaH,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Ev. dlzka useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie
cesta III. triedy,527014,7,M481,527014-007 Most cez Horský za obcou Veľký Lom,,1931.0,,,1.0,2.05,,5.0,4.8,,,Uspokojivý,374320.0,3643A27800,3643A27900,270,18760.0,19.369108265,48.344288157,443.9115,2.05,dosková,monolitický železobetón,50.0,60.0,100.0,odhadom,Vodný tok,0.0,medzikrižovatkový,554.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,29.0
cesta III. triedy,527015,1,M5026,527015-001 Most ( tunel) cez potok Stará rieka pred obcou Horné Strháre,,1963.0,,,1.0,3.5,,7.0,7.0,,,Dobrý,3799.0,4621A04300,4621A13400,2703,2703.0,19.368055447,48.265845006,241.002999,3.5,klenbová,monolitický prostý betón,50.0,130.0,420.0,odhadom,Vodný tok,0.0,medzikrižovatkový,3282.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,0.0
cesta III. triedy,527017,1,M603,527017-001 Most cez potok Suchánčok v obci Sucháň,,1937.0,,,1.0,5.0,,7.6,5.6,,,Uspokojivý,372748.0,4612A13400,4612A13500,24,2373.0,19.222369265,48.314677573,502.043,5.0,trámová,monolitický železobetón,15.0,26.0,149.0,odhadom,Vodný tok,0.0,medzikrižovatkový,53.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,8.0
cesta III. triedy,527017,2,M6384,527017-002 Most cez potok Suchánčok v obci Sucháň,,1936.0,,,1.0,7.2,,7.6,5.6,,,Uspokojivý,372750.0,4612A13600,4612A13700,42,2537.0,19.222039568,48.313235562,500.2715,7.2,trámová,monolitický železobetón,18.0,24.0,169.0,odhadom,Vodný tok,0.0,medzikrižovatkový,70.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,10.0
cesta III. triedy,527017,3,M4373,527017-003 Most cez Višňový potok pred obcou Čebovce,,1968.0,,,1.0,5.1,,7.5,6.5,,,Uspokojivý,3250.0,4612A03100,4612A00800,870,14429.0,19.215464344,48.221198364,503.959499,5.1,trámová,prefabrikovaný železobetón,28.0,54.0,313.0,odhadom,Vodný tok,0.0,medzikrižovatkový,5111.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,23.0
cesta III. triedy,527017,4,M2474,527017-004 Most cez potok Čebovský v obci Čebovce,,1938.0,,,1.0,6.05,,7.35,7.0,,,Uspokojivý,374090.0,4612A17000,4612A17100,58,20060.0,19.231348825,48.176004199,210.85725,6.05,trámová,monolitický železobetón,16.0,24.0,138.0,odhadom,Vodný tok,0.0,medzikrižovatkový,67.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,32.0
cesta III. triedy,527017,5,M7401,527017-005 Most cez potok Čahovský v obci Nenince,,1938.0,,,1.0,8.2,,7.55,,,,Uspokojivý,374096.0,4614A13000,4614A13100,22,24084.0,19.259179628,48.146954092,167.966499,8.2,trámová,monolitický železobetón,16.0,24.0,128.0,odhadom,Vodný tok,0.0,medzikrižovatkový,80.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,38.0
cesta III. triedy,527018,1,M1081,527018-001 Most cez Čebovský potok v obci Opatovská Nová Ves,,1973.0,,,1.0,14.0,,9.5,7.0,,,Dobrý,3276.0,4614A00900,4614A14300,66,66.0,19.275348378,48.114496209,152.519499,14.0,dosková,prefabrikovaný predpätý betón,60.0,80.0,100.0,odhadom,Vodný tok,0.0,medzikrižovatkový,291.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,0.0
cesta III. triedy,527018,3,M2911,527018-003 Most cez Seliansky potok medzi obcami Opatovská Nová Ves a Lesenice,,1961.0,,,1.0,7.55,,7.8,6.8,,,Uspokojivý,374111.0,4614A14500,4614A14600,243,889.0,19.265291221,48.111900382,152.816999,7.55,dosková,prefabrikovaný železobetón,26.0,45.0,253.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1536.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,3.0
cesta III. triedy,527018,4,M1751,527018-004 Most cez potok Lesenický v obci Lesenice,,1958.0,,,1.0,3.75,,7.65,7.1,,,Dobrý,374074.0,4614A12000,4614A12100,127,3002.0,19.242543039,48.105445285,159.2415,3.75,dosková,monolitický železobetón,13.0,29.0,203.0,odhadom,Vodný tok,0.0,medzikrižovatkový,3660.0,BB SK,BB RSC,BB RSC - VK,Banskobystrický kraj,Veľký Krtíš,0.0,10.0
