Bridge_ID,District,Latitude,Longitude,Material,Bridge_Name,Bridge_Length,Year_of_Construction,Bridge_Width,Load_Capacity,Road_Class,Type_of_Structure,Bridge_Purpose,Administrator,Road_Number,Region,num_2012,num_2013,num_2014,num_2015,num_2016,num_2017,num_2018,num_2019,num_2020,num_2021,num_2022,num_2023
M5549,Levice,48.096999218,18.544656628,monolitický železobetón,"75_029 Most cez potok Lužianka, k.ú. Tekovské Lužany",5.1,1950.0,9.4,11.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,4,4,4,4
M4057,Levice,48.096914404,18.591370556,monolitický železobetón,"75_031 Most cez potok Vrbovec, k.ú. Tekovské Lužany",4.6,1942.0,6.75,16.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,4,4,4,4,4
M7500,Levice,48.117049187,18.631026029,prefabrikovaný predpätý betón,75_032 Most cez rieku Hron v k.ú. obce Šárovce,183.66,1989.0,11.5,35.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,4,4,4,4,4,5,5,5,5,5
M5915,Levice,48.119564269,18.638306316,prefabrikovaný železobetón,75_032A Inundačný most pri obci Jur nad Hronom,8.26,1989.0,15.0,36.0,cesta I. triedy,trámová,Záplavové územie,SSC - IVSC BA,75,Nitra,2,2,2,2,2,2,2,4,4,4,4,4
M1181,Levice,48.122843467,18.658193374,monolitický železobetón,"75_033 Most cez potok Podlužianka, k.ú. Jur nad Hronom",8.05,1941.0,9.5,17.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,5,5,5,5,5
M2050,Levice,48.12327,18.66121,prefabrikovaný železobetón,"75_034 Most cez potok Teller, k.ú. Hontianska Vrbica",5.0,1972.0,9.5,26.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,4,4,4,4,4
M235,Levice,48.124964156,18.680444026,prefabrikovaný predpätý betón,75_035 Most cez potok Sikenica v k.ú. obce Hontianska Vrbica,20.6,1972.0,10.6,28.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,4,4,4,4,4
M4947,Levice,48.124013837,18.693054399,prefabrikovaný predpätý betón,75_036 Most cez potok Perec v k.ú. obce Hontianska Vrbica,14.0,1972.0,10.75,36.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,5,5,5,5,5
M3867,Levice,48.124795555,18.777213001,prefabrikovaný predpätý betón,75_037 Most cez potok Kamenná v k.ú. obce Demandice,21.0,1972.0,11.0,25.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,3,5,5,5,5
M1782,Levice,48.125705426,18.779089037,prefabrikovaný predpätý betón,75_038 Most cez potok Búr v k.ú. obce Demandice,18.5,1972.0,9.7,10.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,5,5,5,5
M475,Levice,48.123379023,18.834348868,tehla,"75_039 Most cez lúčny jarok, Osada - Peres",2.5,1938.0,7.6,12.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,5,5,5,5
M1338,Levice,48.123511812,18.845040695,prefabrikovaný železobetón,75_040 Most cez jarok pred obcou Dolné Semerovce,7.3,1963.0,10.4,17.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,3,3,3,3,3,3,3,3,4,4,4,5
M3887,Levice,48.138102441,18.88652068,monolitický železobetón,75_041 Most cez potok Štiavnica v k.ú. obce Slatina,23.8,1946.0,9.0,13.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,5,5,5,5,5,5,5,5,5,5,5,5
M4840,Levice,48.140372919,18.891829701,monolitický železobetón,75_042 Most nad železnicou v k.ú. obce Slatina,19.5,1946.0,7.6,20.0,cesta I. triedy,rámová,Železnica,SSC - IVSC BA,75,Nitra,5,5,5,5,5,5,5,5,5,5,5,5
M2124,Levice,48.153522896,18.961593215,monolitický železobetón,75_044 Most cez potok Krupinica v k.ú. obce Plášťovce,23.4,1936.0,8.9,18.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,4,4,4,5
M1163,Levice,48.167469362,19.028202812,monolitický železobetón,"75_045 Most cez horský potok, k.ú. Plášťovce",3.0,1936.0,7.8,35.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BA,75,Nitra,4,4,4,4,4,4,4,4,4,4,4,4
M911,Veľký Krtíš,48.212243422,19.144711409,monolitický železobetón,"75_046 Most cez jarok a hospodársky podjazd Opatovské Lazy, k.ú. Čelovce",3.3,1936.0,7.5,22.0,cesta I. triedy,dosková,Účelová komunikácia,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,5,5,5,5,5
M5548,Veľký Krtíš,48.185968706,19.198085323,monolitický železobetón,75_047 Most cez bezmenný potok a miestnu komunikáciu v obci Kosihovce,13.2,1936.0,7.17,16.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,5,5,5,5,6
M1997,Veľký Krtíš,48.188301011,19.217306124,monolitický železobetón,75_048 Most cez potok Meď pri obci Čebovce,5.5,1936.0,8.5,16.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,6,6,6,6,6
M6550,Veľký Krtíš,48.18779384,19.224993668,monolitický prostý betón,"75_049 Most cez potok Čebovský, k.ú. Čebovce",3.6,1937.0,8.0,50.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,5,5,5,5,6
M487,Veľký Krtíš,48.199078061,19.260341185,monolitický prostý betón,"75_050 Most cez Príbelský potok, k.ú. Príbelce",3.0,1937.0,8.0,50.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,5,5,5,5,5
M2968,Veľký Krtíš,48.200130524,19.305505804,monolitický prostý betón,75_051 Most cez potok Príbelský v obci Dolné Plachtince,5.4,1937.0,8.5,50.0,cesta I. triedy,klenbová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,4,4,4,4,4
M3603,Veľký Krtíš,48.202945713,19.310797722,monolitický železobetón,"75-052 Most cez potok Plachtinský, Dolné Plachtince",31.0,1938.0,7.4,12.0,cesta I. triedy,oblúková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,5,1,1,1,1,1,1,4,4,4,4,5
M4167,Veľký Krtíš,48.214964986,19.337716117,prefabrikovaný predpätý betón,"75_053 Most cez potok Krtíš, k.ú. Veľký Krtíš",10.69,2006.0,17.0,32.0,cesta I. triedy,trámová,Nezistený,SSC - IVSC BB,75,Banská Bystrica,1,1,1,1,1,1,1,2,2,2,2,4
M5303,Veľký Krtíš,48.211732673,19.358916964,monolitický železobetón,"75_054 Most cez Suchý jarok, k.ú. Veľký Krtíš",3.8,1931.0,8.2,6.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,4,4,4,4,4,4,4,5,5,5,5,5
M5971,Veľký Krtíš,48.229533052,19.416620144,prefabrikovaný železobetón,75_055 Most cez potok Koprovnica pri obci Pôtor,11.6,1952.0,9.0,32.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,2,2,2,2,2,2,2,4,4,4,4,4
M7245,Veľký Krtíš,48.230358496,19.417304912,monolitický železobetón,"75_056 Most cez zátopové územie, k.ú. Pôtor",4.0,1950.0,8.0,21.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,5,5,5,5,5
M1069,Veľký Krtíš,48.230905637,19.417760556,monolitický železobetón,"75_057 Most cez zátopové územie, k.ú. Pôtor",4.0,1929.0,8.0,12.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,6,6,6,6,6
M5550,Veľký Krtíš,48.263788539,19.431970325,monolitický železobetón,"75_058 Most cez jarok, k.ú. Slovenské Kľačany",2.2,1936.0,8.0,11.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,3,3,3,3,3,3,3,5,5,5,5,5
M7657,Veľký Krtíš,48.264656136,19.440774383,monolitický železobetón,75-059 most cez járok pri obci Slovenské Kľačany,2.7,1938.0,8.0,8.0,cesta I. triedy,dosková,Záplavové územie,SSC - IVSC BB,75,Banská Bystrica,5,5,5,5,5,5,5,6,6,6,6,6
M427,Veľký Krtíš,48.267676671,19.447392965,prefabrikovaný predpätý betón,"75_060 Most cez potok Veľká rieka (Tisovník), k.ú. Slovenské Kľačany",22.0,1974.0,11.5,35.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BB,75,Banská Bystrica,2,2,2,2,2,2,2,2,5,5,5,5
