ID mosta,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Okres,Longitude,Latitude,Material,Názov mosta,Dĺžka premostenia,Rok postavenia,Volná šírka mosta,Normána zaťažiteľnost,Trieda PK,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023
M173,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Lučenec,19.551040379,48.429894227,monolitický železobetón,050104-002_Most cez potok Vápenka v obci Ružina,4.0,1962,10.75,33.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,4,4,4,4,4,4,4
M7704,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.417109912,48.386988082,prefabrikovaný predpätý betón,050107-001_Most cez Madačský potok v obci Nedelište,11.7,1966,9.15,24.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M3947,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.411960558,48.394074587,prefabrikovaný železobetón,050107-002_Most cez jarok v obci Nedelište,3.0,1966,7.9,30.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M5975,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.412402883,48.403238074,prefabrikovaný železobetón,050107-003_Most cez jarok pri obci Madačka,3.0,1966,7.8,29.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M4171,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.414198912,48.410276125,prefabrikovaný železobetón,050107-004_Most cez miestny jarok v obci Madačka,3.0,1966,7.5,30.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M3447,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Lučenec,19.56630807,48.474861439,prefabrikovaný predpätý betón,050108-001_Most cez Dobročský potok v obci Dobroč,6.15,1966,8.25,28.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,4,4,4
M5501,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Lučenec,19.575780648,48.445066254,monolitický železobetón,050109-001_Most cez Krivánsky potok v Lovinobani,10.0,1948,7.5,17.0,cesta III. triedy,Banská Bystrica,4,4,4,4,4,4,4,4,4,4,4,4
M1728,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Lučenec,19.599912978,48.405666775,prefabrikovaný predpätý betón,050111-001_Most cez Krivánsky potok v obci Podrečany,9.7,1960,7.5,31.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
M4855,Dobrý,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Poltár,19.652548598,48.44843576,monolitický železobetón,050112-001_Most cez bezmenný potok v Cinobani,9.52,1945,6.55,12.0,cesta III. triedy,Banská Bystrica,3,3,3,4,4,4,4,4,4,4,4,5
M3405,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Poltár,19.685413949,48.469953644,prefabrikovaný železobetón,050112-004_Most cez potok ozdín v obci Ozdín,6.7,1972,9.8,35.0,cesta III. triedy,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3
