ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M6877,cesta I. triedy,66,"66_071 Most cez bývalý náhon k hydrocentrále, k.ú. Banská Bystrica",71,48.74018,19.17739,359.49,trámová,prefabrikovaný predpätý betón,30.0,68.0,128.0,podľa tabuliek,Iná prekážka,1964,Nezistený,1.0,17.59,,12.7,12.7,,,STAT,SSC - IVSC BB,Banská Bystrica,3614A38000,3614A00301,743945,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,2,5,5
M1975,cesta I. triedy,66,66_086 Most cez železničnú trať pri obci Medzibrod,86,48.792676982,19.365731147,409.5715,dosková,monolitický železobetón,22.0,59.0,140.0,odhadom,Železnica,1950,Nezistený,1.0,16.86,,11.0,10.0,,,STAT,SSC - IVSC BB,Banská Bystrica,3623A00602,3623A00701,342751,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
M1737,cesta I. triedy,66,66_047 Most cez potok Neresnica za obcou Dobrá Niva,47,48.480416016,19.101108278,353.429,rámová,monolitický železobetón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,1959,Nezistený,1.0,15.8,,11.25,9.25,,,STAT,SSC - IVSC BB,Zvolen,3634A12000,3634A12200,474277,Banská Bystrica,2,2,3,3,3,3,3,3,3,3,3,5,5
M5341,cesta I. triedy,66,"66_063D Most cez potok Bystrica v meste Banská Bystrica - Hušták, pri kláštore",063D,48.731216829,19.140040574,339.785999,dosková,prefabrikovaný predpätý betón,48.0,87.0,318.0,podľa tabuliek,Vodný tok,1979,Nezistený,1.0,15.65,,21.0,21.0,,,STAT,SSC - IVSC BB,Banská Bystrica,3614A02403,3614A24500,8944,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
M2780,cesta I. triedy,16,"50_262 Most cez poľnú cestu, k.ú. Gemer",262,48.455159348,20.346638293,191.851999,dosková,prefabrikovaný predpätý betón,46.0,92.0,280.0,projektovaná,Účelová komunikácia,1986,Nezistený,1.0,15.6,,11.5,11.5,,,STAT,SSC - IVSC BB,Revúca,3734A00302,3734B00100,20614,Banská Bystrica,2,2,2,2,2,2,2,2,2,2,4,5,5
M1320,cesta I. triedy,72,72_046 Most cez potok Bystrianka v obci Podbrezová,46,48.806139724,19.550352038,471.773249,trámová,prefabrikovaný predpätý betón,30.0,75.0,129.0,podľa tabuliek,Vodný tok,1963,Nezistený,1.0,15.0,,10.0,8.0,,,STAT,SSC - IVSC BB,Brezno,3623A11400,3623A11500,488990,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,3,5
M2871,cesta I. triedy,68,68_043 Most cez miestny potok za obcou Okrucany,43,49.095741995,21.109191215,318.020749,dosková,prefabrikovaný predpätý betón,20.0,58.0,240.0,podľa tabuliek,Vodný tok,1970,Nezistený,1.0,12.75,,11.1,9.3,,,STAT,SSC - IVSC KE,Sabinov,2744A55013,2744A55006,1062114,Prešov,5,5,4,4,4,4,4,4,3,3,3,3,5
M2309,cesta I. triedy,10,18_239 Most cez rieku Kysuca v obci Makov,239,49.369645524,18.475028902,595.702,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1937,A,1.0,12.74,,7.0,7.0,,,STAT,SSC - IVSC ZA,Čadca,2524A09200,2524A09300,194309,Žilina,1,1,1,1,1,2,2,2,2,3,3,3,5
M5415,cesta I. triedy,66,66_096 Most cez Vajskovský ptok v obci Podbrezová-Lopej,96,48.817028414,19.4975272,450.72275,dosková,prefabrikovaný predpätý betón,18.0,62.0,297.0,podľa tabuliek,Vodný tok,1970,Nezistený,1.0,12.6,,12.5,10.5,,,STAT,SSC - IVSC BB,Brezno,3623A26700,3623A01302,489312,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
M1195,cesta I. triedy,72,72_016 Most cez rieku Rimava pred obcou Tisovec,16,48.661439887,19.941654404,379.18075,trámová,prefabrikovaný predpätý betón,32.0,80.0,280.0,odhadom,Vodný tok,1959,Nezistený,1.0,11.65,,9.5,9.5,,,STAT,SSC - IVSC BB,Rimavská Sobota,3642A13900,3642A16500,394922,Banská Bystrica,3,3,3,3,3,3,3,3,3,3,3,5,5
