Time,P_3_pv0,P_3_pv1,P_3_pv3,T_27_pv1,T_27_pv2
2025-03-14 02:00:00+00:00,1910.631714,187.05726625,3.6883244515,4.796875,5.0625
2025-03-14 03:00:00+00:00,1912.5740232,187.16489256,3.4987786772,4.75,5.025
2025-03-14 04:00:00+00:00,1911.986725,187.108055125,3.49975574025,4.71875,4.96875
2025-03-15 00:00:00+00:00,1909.16458125,186.742908475,3.05080604575,4.8125,4.8125
2025-03-15 01:00:00+00:00,1910.47265625,186.859710725,2.98705422875,4.8125,4.765625
2025-03-15 02:00:00+00:00,1910.1052854999998,186.812328325,2.92843186825,4.625,4.859375
2025-03-15 03:00:00+00:00,1910.41656475,186.8515091,2.9748412369999997,4.640625,4.9375
2025-03-15 04:00:00+00:00,1909.7459105,186.799171425,3.0359061955,4.65625,4.890625
2025-03-16 00:00:00+00:00,1918.62554925,187.769809725,3.4416218400000003,5.328125,5.5625
2025-03-16 01:00:00+00:00,1918.87271125,187.737312325,3.275280833,5.25,5.46875
2025-03-16 02:00:00+00:00,1916.581604,187.494529725,3.175378561,5.046875,5.296875
2025-03-16 03:00:00+00:00,1915.56192,187.348232275,2.93820226175,4.765625,4.984375
2025-03-16 04:00:00+00:00,1914.47125225,187.23870085,2.930630207,4.75,5.0
2025-03-17 00:00:00+00:00,1917.98468,187.195255275,0.95017099375,3.03125,3.140625
2025-03-17 01:00:00+00:00,1913.92196625,186.757740025,0.73522228,2.578125,2.734375
2025-03-17 02:00:00+00:00,1913.28448475,186.6660347,0.581094265,2.21875,2.40625
2025-03-17 03:00:00+00:00,1912.958374,186.632766725,0.5781631695,2.21875,2.375
2025-03-17 04:00:00+00:00,1912.634491,186.56319045,0.42721054725,2.078125,2.265625
2025-03-18 00:00:00+00:00,1902.2156065,185.317497275,-0.7989741115,-0.328125,-0.03125
2025-03-18 01:00:00+00:00,1897.54635625,184.824707025,-0.9992672204999999,-0.6875,-0.21875
2025-03-18 02:00:00+00:00,1895.35592675,184.57343674999998,-1.1968734265,-0.90625,-0.484375
2025-03-18 03:00:00+00:00,1892.785553,184.2763977,-1.4416218995,-1.296875,-0.78125
2025-03-18 04:00:00+00:00,1893.26849375,184.31555939999998,-1.538837314,-1.328125,-0.78125
2025-03-19 00:00:00+00:00,1913.73077425,186.47221755,-0.635075718,0.046875,0.359375
2025-03-19 01:00:00+00:00,1908.356598,185.8806877,-0.987054214,-0.96875,-0.359375
2025-03-19 02:00:00+00:00,1905.34332275,185.5360527,-1.24328282475,-1.171875,-0.578125
2025-03-19 03:00:00+00:00,1902.2602235,185.192894,-1.46580362325,-1.375,-0.765625
2025-03-19 04:00:00+00:00,1897.48110975,184.662345875,-1.80752319075,-2.046875,-1.53125
2025-03-20 00:00:00+00:00,1925.81369025,187.7922897,0.09990229925,1.078125,1.375
2025-03-20 01:00:00+00:00,1921.620453,187.30719375,-0.2982413285,0.390625,0.78125
2025-03-20 02:00:00+00:00,1921.21310425,187.225753775,-0.512945771,0.328125,0.734375
2025-03-20 03:00:00+00:00,1915.91894525,186.66304015,-0.75012212975,0.125,0.5
2025-03-20 04:00:00+00:00,1911.84365875,186.162803625,-1.29018074275,-0.5625,-0.203125
2025-03-21 00:00:00+00:00,1952.901123,190.78961945,1.88788473625,3.8125,4.046875
2025-03-21 01:00:00+00:00,1949.0806479999999,190.4337514,1.6166748206666668,3.4791666666666665,3.75
2025-03-21 02:00:00+00:00,1946.363037,190.05342610000002,1.3955382106666665,3.1458333333333335,3.4166666666666665
2025-03-21 03:00:00+00:00,1945.5641785,189.93320465,1.172203183,3.03125,3.21875
2025-03-21 04:00:00+00:00,1943.099121,189.6807404,1.1279921535000001,2.875,3.09375
2025-03-22 00:00:00+00:00,1971.42138675,192.90216445,3.39252561325,5.515625,5.71875
2025-03-22 01:00:00+00:00,1969.97140475,192.71204377499998,3.150464058,5.359375,5.5625
2025-03-22 02:00:00+00:00,1966.7452697499998,192.368999475,3.0068392755,5.140625,5.34375
2025-03-22 03:00:00+00:00,1963.441284,191.99300002500001,2.755007386,4.75,4.984375
2025-03-22 04:00:00+00:00,1962.5017090000001,191.860889425,2.544943869,4.609375,4.828125
2025-03-23 00:00:00+00:00,1981.07690425,194.15594485,4.909623623,7.515625,7.71875
2025-03-23 01:00:00+00:00,1979.4312135,193.97509765,4.8290178775,7.453125,7.609375
2025-03-23 02:00:00+00:00,1978.68505875,193.90130614999998,4.80947709075,7.5,7.6875
2025-03-23 03:00:00+00:00,1978.95513925,193.93419265,4.8363456725,7.59375,7.78125
2025-03-23 04:00:00+00:00,1984.2183532499998,194.5020256,5.105031967,8.140625,8.3125
2025-03-24 00:00:00+00:00,1990.2071535,195.15870285,5.44699573525,7.625,7.859375
2025-03-24 01:00:00+00:00,1987.01419075,194.784744225,5.1441135405,7.125,7.359375
2025-03-24 02:00:00+00:00,1985.2151185,194.57673647500002,4.985588789,6.890625,7.140625
