ID_mosta,Trieda_PK,Číslo_PK,Most_DC,Názov_mosta,ID_DC,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Smer_úseku,Typ_úseku,Počiatočný_uzol,Koncový_uzol,úsek_ID,úsekové_staničenie_začiatku_DC_m,Kilometrovníkové_staničenie_začiatku_DC_km,Kumulatívne_staničenie_začiatku_DC_km,Poradie,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,S
M5552,cesta II. triedy,546,Dilatačný celok,Most vodná nádrž Ružín - Folkmárský potok Jaklovce,M5552.01,16,48.877378588,20.996927746,331.433,dosková,monolitický železobetón,20,68,168,odhadom,Vodný tok,1968,Nezistený,1.0,5.0,,11.0,8.5,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3722A00502,3721A27900,8360,1360,28.342,27.822,41,Košice,4,4,4,4,4,4,4,4,4,4,4,6,5324.0
M38,cesta II. triedy,546,Dilatačný celok,Most cez miestný potok - Jaklovce,M38.01,17,48.873555754,20.99195205,333.679499,dosková,monolitický železobetón,11,28,168,odhadom,Vodný tok,1925,Nezistený,1.0,3.5,,7.0,6.4,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3721A24900,3721A25000,291783,13,29.053,28.513,49,Košice,4,4,4,4,4,4,4,4,4,4,4,5,4687.0
M6391,cesta II. triedy,546,Dilatačný celok,Most cez potok Grollenzeif v osade Mária Huta,M6391.01,18,48.86638463,20.959468079,341.520999,dosková,monolitický železobetón,34,60,280,odhadom,Vodný tok,1966,Nezistený,1.0,8.1,,9.0,7.5,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3721A21800,3721A21900,291752,54,32.01,31.473,62,Košice,2,2,3,3,3,3,4,4,4,4,5,5,3259.0
M64,cesta II. triedy,546,Dilatačný celok,Most cez potok Zerdeling za mestom Gelnica,M64.01,19,48.838185208,20.921276911,385.1325,klenbová,monolitický prostý betón,50,120,420,odhadom,Vodný tok,1963,Nezistený,1.0,5.1,,9.0,9.0,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A02302,3723A05600,310969,840,35.826,35.272,78,Košice,2,2,2,2,2,2,2,2,2,2,2,5,3209.0
M1517,cesta II. triedy,546,Dilatačný celok,Most cez potôčik pred obcou Prakovce,M1517.01,20,48.815674824,20.916990951,380.531499,klenbová,monolitický železobetón,35,65,420,odhadom,Vodný tok,1968,Nezistený,1.0,3.2,,10.0,10.0,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A06000,3723A06100,291894,473,39.363,38.801,82,Košice,2,2,2,2,2,2,2,2,2,2,2,4,3150.0
M3503,cesta II. triedy,546,Dilatačný celok,Most cez potôčik pred obcou Prakovce,M3503.01,21,48.814876932,20.914364825,379.4755,klenbová,monolitický železobetón,37,67,420,odhadom,Vodný tok,1968,Nezistený,1.0,6.9,,10.25,9.0,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A06100,3723A06200,291895,92,39.578,39.013,83,Košice,2,2,2,2,2,2,2,2,2,2,5,5,3150.0
M6577,cesta II. triedy,546,Dilatačný celok,Most cez rieku Hnilec v obci Prakovce,M6577.01,22,48.816654602,20.898554581,384.50525,trámová,prefabrikovaný predpätý betón,31,88,181,podľa tabuliek,Vodný tok,1970,Nezistený,1.0,22.0,,10.0,7.5,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A06602,3723A06700,1383766,50,40.781,40.223,88,Košice,3,3,3,3,3,3,3,4,4,4,5,5,1652.0
M7371,cesta II. triedy,546,Dilatačný celok,Most - nadcestie cez ŽSR v obci Prakovce,M7371.01,23,48.816361992,20.893702884,395.057499,trámová,oceľ -  plnostenná,32,80,196,odhadom,Železnica,1935,Nezistený,1.0,9.53,,10.05,9.53,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A06700,3723A06800,291901,246,41.153,40.595,89,Košice,2,2,2,2,2,2,2,2,2,2,2,4,1652.0
M6581,cesta II. triedy,546,Dilatačný celok,Most - potôčik pred obcou Helcmanovce,M6581.01,24,48.83181885,20.878339948,402.10425,klenbová,kameň,8,19,77,odhadom,Vodný tok,1890,Nezistený,1.0,3.9,,7.0,6.0,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A06800,3723A06900,291902,2221,43.436,42.862,90,Košice,4,4,4,4,4,4,4,4,4,4,4,5,1652.0
M5724,cesta II. triedy,546,Dilatačný celok,Most cez potôčik - Helcmanovce,M5724.01,25,48.831387884,20.87477482,403.088,klenbová,kameň,10,25,126,odhadom,Vodný tok,1890,Nezistený,1.0,3.5,,7.0,,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A07000,3723A07100,291904,29,43.724,43.149,92,Košice,4,4,4,4,4,4,4,4,4,4,4,5,1652.0
M3586,cesta II. triedy,546,Dilatačný celok,Most cez miestny potôčik v obci Helcmanovce,M3586.01,26,48.828424534,20.868692951,401.535499,klenbová,kameň,7,21,84,odhadom,Vodný tok,1890,Nezistený,1.0,3.35,,10.3,,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A07400,3723A07500,291908,26,44.322,43.747,97,Košice,5,5,5,5,5,5,5,5,5,5,5,5,1652.0
M4663,cesta II. triedy,546,Dilatačný celok,Most cez potôčik v obci Helcmanovce,M4663.01,29,48.824466931,20.846370588,403.064499,klenbová,kameň,10,26,98,odhadom,Vodný tok,1880,Nezistený,1.0,3.7,,7.0,7.0,,,KE SK,SC KSK - SNV,Gelnica,oba smery trasy CK,medzikrižovatkový,3723A07700,3723A07800,291911,1274,46.075,45.529,100,Košice,4,4,4,4,4,4,4,4,4,4,3,3,1652.0
