ID_mosta;Trieda_PK;Číslo_PK;Zemepisná_šírka;Zemepisná_dĺžka
M3689;cesta II. triedy;555;48.510671424;22.054378469
M627;cesta II. triedy;555;48.507786888;22.054854333
M5487;cesta II. triedy;555;48.500417499;22.051980916
M946;cesta II. triedy;555;48.48620083;22.037739376
M14;cesta II. triedy;555;48.482675931;22.032557992
M7232;cesta II. triedy;566;48.784600003;22.248134777
M7656;cesta II. triedy;566;48.799169758;22.268006957
M2117;cesta II. triedy;566;48.817540541;22.299997342
M6735;cesta II. triedy;566;48.840389269;22.323375743
M260;cesta II. triedy;566;48.852290495;22.349716723
M2662;cesta II. triedy;566;48.85585315;22.353155722
M2663;cesta II. triedy;566;48.862892198;22.355341264
M7142;cesta II. triedy;576;48.81250111;21.51601848
M5726;cesta II. triedy;576;48.72122983;21.437092335
M7124;cesta II. triedy;576;48.69483659;21.438495025
M5479;cesta II. triedy;576;48.682710151;21.431801198
M3741;cesta II. triedy;576;48.658588964;21.400706398
M1608;cesta II. triedy;582;48.760147182;21.919972718
M6860;cesta II. triedy;582;48.789028749;21.946126892
M6554;cesta II. triedy;582;48.789078905;21.945979434
M3540;cesta II. triedy;582;48.797854258;21.957982963
M7805;cesta II. triedy;582;48.804894664;22.00272262
M2791;cesta II. triedy;582;48.809795897;22.02784283
M1193;cesta II. triedy;582;48.813337783;22.063572086
M237;cesta II. triedy;582;48.817488785;22.072052269
M721;cesta II. triedy;582;48.815475394;22.089635039
M6534;cesta II. triedy;582;48.822068203;22.118216662
M5218;cesta II. triedy;582;48.823363517;22.133893022
M368;cesta II. triedy;582;48.813337621;22.150155615
M3399;cesta II. triedy;582;48.775642047;22.165049132
M1100;cesta II. triedy;582;48.774333248;22.167099762
M2681;cesta II. triedy;582;48.762135745;22.178228921
M6663;cesta II. triedy;587;48.691827737;20.347266712
M7671;cesta II. triedy;587;48.677752118;20.355187192
M5790;cesta II. triedy;587;48.662551988;20.361538468
M6704;cesta II. triedy;587;48.594596406;20.384318765
M2190;cesta II. triedy;587;48.546589114;20.396332504
M6396;cesta II. triedy;587;48.525823867;20.407424116
M2738;cesta II. triedy;587;48.512465068;20.424070683
M4939;cesta II. triedy;587;48.504775264;20.43170738
M5020;cesta III. triedy;3071;48.982278114;20.403585874
M839;cesta III. triedy;3201;48.992774059;20.523902865
M3851;cesta III. triedy;3201;48.986033724;20.528920752
M5470;cesta III. triedy;3201;48.955124874;20.53142436
M6390;cesta III. triedy;3420;48.95043717;20.951782763
M4449;cesta III. triedy;3420;48.939115598;20.942766987
M3628;cesta III. triedy;3420;48.931043821;20.939838543
M557;cesta III. triedy;3420;48.923591485;20.933086423
M6728;cesta III. triedy;3420;48.923303881;20.932219202
M1324;cesta III. triedy;3420;48.922574747;20.932164024
M4223;cesta III. triedy;3420;48.92089;20.93142
M5262;cesta III. triedy;3270;48.933057728;20.916788866
M5012;cesta III. triedy;3270;48.941890952;20.910975623
M1653;cesta III. triedy;3270;48.942358833;20.910386057
M6045;cesta III. triedy;3290;48.800733196;21.476289899
M6567;cesta III. triedy;3290;48.809793948;21.459429974
M4799;cesta III. triedy;3290;48.817649462;21.446979301
M1731;cesta III. triedy;3290;48.824592498;21.419570185
M1360;cesta III. triedy;3290;48.82547887;21.415585011
M894;cesta III. triedy;3293;48.793850264;21.467889019
M7806;cesta III. triedy;3295;48.820308976;21.423791709
M3906;cesta III. triedy;3295;48.814008384;21.425515906
M5200;cesta III. triedy;3295;48.803670217;21.43218081
M66;cesta III. triedy;3295;48.782834738;21.430787154
M3918;cesta III. triedy;3295;48.753710988;21.432210125
M2542;cesta III. triedy;3295;48.750454836;21.434423107
M3465;cesta III. triedy;3731;48.843155829;21.832337829
M7664;cesta III. triedy;3731;48.843536354;21.827905911
M2861;cesta III. triedy;3732;48.76926975;21.853823037
M7093;cesta III. triedy;3732;48.766977295;21.845745182
M5657;cesta III. triedy;3732;48.773456696;21.835802267
M2760;cesta III. triedy;3732;48.77385663;21.78804218
M1794;cesta III. triedy;3733;48.792686131;21.814109762
M242;cesta III. triedy;3734;48.818363894;21.848347448
M4948;cesta III. triedy;3734;48.815697572;21.83007644
M5991;cesta III. triedy;3735;48.861296408;21.820086557
M1873;cesta III. triedy;3000;48.631885866;20.499558727
M4980;cesta III. triedy;3000;48.632765899;20.50244921
M2216;cesta III. triedy;3791;48.662666495;22.262757413
M1543;cesta III. triedy;2822;48.472144271;20.350441276
M1502;cesta III. triedy;2822;48.486698629;20.347195408
M3003;cesta III. triedy;2822;48.488547508;20.343168424
